,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION
140,US1INLK0094,"GRIFFITH 1.2 N, IN US",41.539438,-87.425771,188.1
141,US1ILWL0154,"NAPERVILLE 2.9 SSE, IL US",41.72289,-88.13635,206.0
142,US1ILCK0050,"PALOS PARK 1.3 SW, IL US",41.652814,-87.863067,214.0
143,US1ILWL0151,"NEW LENOX 1.5 W, IL US",41.51943,-88.01365,196.3
144,US1ILDP0157,"WEST CHICAGO 3.5 NNE, IL US",41.937182,-88.198848,235.6
145,US1ILCK0331,"NORTHFIELD 0.3 S, IL US",42.095697,-87.7788529,195.1
146,US1INLK0099,"ST. JOHN 2.8 SE, IN US",41.415247,-87.443594,223.1
147,US1ILDP0032,"LISLE 1.3 SE, IL US",41.78143,-88.06739,224.9
148,USC00113490,"GLEN ELLYN 4 S, IL US",41.82693,-88.05811,207.3
149,US1ILCK0296,"CHICAGO HEIGHTS 2.4 NNW, IL US",41.542771,-87.654073,196.0
150,US1ILCK0053,"GLENCOE 0.1 NW, IL US",42.13565,-87.765394,212.1
151,US1ILCK0323,"CHICAGO 6.8 NW, IL US",41.9625,-87.70425,181.7
152,US1ILDP0040,"LOMBARD 1.0 NNW, IL US",41.888412,-88.022942,216.1
153,US1ILDP0161,"WHEATON 1.2 NNW, IL US",41.87278,-88.11416,225.9
154,US1ILCK0168,"RAVENSWOOD MANOR 0.1 ESE, IL US",41.964176,-87.697392,178.3
155,US1ILCK0322,"ARLINGTON HEIGHTS 0.8 NNW, IL US",42.104841,-87.990035,218.5
156,US1ILWL0159,"NEW LENOX 2.1 S, IL US",41.489225,-87.991435,208.8
157,US1ILCK0288,"ROSELLE 0.8 N, IL US",41.9925537109375,-88.084228515625,206.3
158,US1ILCK0321,"EVANSTON 0.9 S, IL US",42.03303,-87.69777,182.9
159,US1ILLK0039,"RIVERWOODS 0.4 ENE, IL US",42.172643,-87.888369,210.9
160,US1ILCK0326,"MORTON GROVE 1.2 WNW, IL US",42.0511,-87.8097,200.3
161,US1INLK0026,"CROWN POINT 1.1 N, IN US",41.439267,-87.3542,217.0
162,US1ILWL0025,"CRETE 2.6 E, IL US",41.446808,-87.565684,212.8
163,US1ILCK0320,"PARK FOREST 0.7 WNW, IL US",41.48579,-87.69962,219.5
164,US1ILWL0147,"NEW LENOX 2.0 ESE, IL US",41.50361,-87.95135,218.2
165,US1ILCK0285,"HARWOOD HEIGHTS 0.4 NNE, IL US",41.971546,-87.803251,197.5
166,US1ILDP0141,"GLEN ELLYN 1.1 WSW, IL US",41.8633883,-88.082855,213.4
167,US1ILCK0042,"MOUNT PROSPECT 3.0 NE, IL US",42.096184,-87.896703,199.0
168,US1ILCK0163,"ARLINGTON HEIGHTS 1.2 SW, IL US",42.081944,-87.997116,215.8
169,US1ILDP0150,"BLOOMINGDALE 1.2 ESE, IL US",41.93972,-88.06657,221.0
170,US1ILCK0278,"HOFFMAN ESTATES 1.6 SE, IL US",42.048122,-88.116188,242.0
171,US1ILWL0149,"BULT FIELD MONEE 4.9 SE, IL US",41.3774,-87.67975,236.8
172,USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.73727,-87.77734,189.0
173,USW00012842,"TAMPA INTERNATIONAL AIRPORT, FL US",27.96331,-82.54,1.8
