"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-08",,"95","71"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-09",,"90","72"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-10",,"78","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-11",,"73","62"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-12",,"73","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-13",,"66","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-14",,"65","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-15",,"72","61"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-16",,"81","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-17",,"87","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-18",,"89","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-19",,"88","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-20",,"76","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-21",,"82","57"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-22",,"74","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-23",,"78","58"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-24",,"83","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-25",,"85","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-26",,"84","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-27",,"83","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-28",,"87","71"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-29",,"87","73"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-30",,"79","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-31",,"70","52"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-01",,"76","51"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-02",,"82","57"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-03",,"87","65"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-04",,"85","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-05",,"76","61"
